iter	Passed	Remaining
147	127042	302155
148	127580	300542
149	128241	299230
150	128840	297782
151	129277	295977
152	130149	295176
153	130943	294197
154	131737	293222
155	132627	292460
156	133932	292605
157	134918	292039
158	136080	291846
159	136754	290602
160	137385	289277
161	138003	287934
162	138731	286824
163	139841	286505
164	140674	285612
165	141172	284045
166	141715	282582
167	142231	281076
168	142939	279959
169	143730	279005
170	144636	278277
171	146116	278641
172	147397	278605
173	148370	277981
174	149102	276903
175	149637	275468
176	150163	274026
177	150964	273092
178	151777	272181
179	152579	271252
180	153282	270149
181	154857	270574
182	155952	270146
183	156663	269052
184	158371	269659
185	159215	268783
186	160022	267845
187	160968	267138
188	161816	266269
189	162411	264987
190	163201	264027
191	163770	262714
192	164228	261234
193	164990	260242
194	165570	258969
195	166104	257631
196	166584	256219
197	167087	254849
198	167638	253564
199	167964	251947
200	168481	250626
201	168926	249208
202	169361	247785
203	169894	246513
204	170328	245106
205	170859	243847
206	171584	242870
207	172040	241518
208	172913	240754
209	173595	239727
210	173996	238317
211	174381	236895
212	174897	235659
213	175408	234424
214	175755	232977
215	176430	231973
216	177218	231119
217	177664	229822
218	178299	228777
219	178792	227554
220	179237	226277
221	179772	225120
222	180073	223678
223	180451	222342
224	180800	220978
225	181242	219736
226	181668	218482
227	181998	217120
228	182384	215834
229	182916	214728
230	183364	213528
231	183802	212323
232	184232	211116
233	184627	209876
234	184869	208469
235	185249	207228
236	185582	205942
237	185915	204662
238	186270	203416
239	186702	202261
240	187069	201041
241	187437	199829
242	187873	198697
243	188223	197480
244	188562	196259
245	188949	195094
246	189381	193982
247	189860	192922
248	190596	192127
249	191058	191058
250	191709	190181
251	192148	189098
252	192828	188255
253	193214	187129
254	193645	186051
255	194125	185026
256	194600	183999
257	194977	182885
258	195320	181746
259	195621	180573
260	195895	179383
261	196296	178315
262	197028	177550
263	197281	176357
264	197431	175080
265	197712	173927
266	198028	172811
267	198280	171645
268	198472	170435
269	198733	169291
270	198946	168113
271	199193	166971
272	199398	165800
273	199652	164677
274	199947	163593
275	200190	162473
276	200420	161349
277	200616	160204
278	200827	159078
279	201056	157972
280	201236	156835
281	201487	155759
282	201919	154828
283	202161	153756
284	202457	152730
285	202648	151631
286	202889	150576
287	203225	149596
288	203451	148541
289	203714	147517
290	203965	146490
291	204250	145493
292	204570	144526
293	204817	143511
294	205084	142516
295	205357	141529
296	205646	140559
297	206045	139668
298	206347	138715
299	206643	137762
300	206901	136788
301	207183	135835
302	207466	134887
303	207916	134051
304	208233	133132
305	208561	132225
306	208810	131271
307	209018	130297
308	209248	129341
309	209469	128384
310	209706	127442
311	209928	126495
312	210164	125561
313	210394	124628
314	210618	123696
315	210835	122764
316	211060	121842
317	211273	120917
318	211468	119986
319	211748	119108
320	211898	118161
321	212118	117258
322	212346	116363
323	212542	115455
324	212811	114590
325	213052	113714
326	213294	112843
327	213536	111976
328	213766	111106
329	213992	110238
330	214269	109400
331	214461	108522
332	214712	107678
333	214914	106814
334	215169	105978
335	215414	105142
336	215670	104315
337	215901	103479
338	216177	102668
339	216421	101845
340	216727	101054
341	216964	100234
342	217259	99445
343	217569	98665
344	218170	98018
345	218554	97275
346	218925	96529
347	219452	95852
348	219722	95066
349	220001	94286
350	220265	93502
351	220508	92713
352	220709	91910
353	220988	91142
354	221226	90360
355	221471	89584
356	221734	88817
357	221993	88053
358	222316	87316
359	222605	86568
360	222821	85795
361	223051	85030
362	223279	84268
363	223552	83524
364	223825	82784
365	224289	82116
366	224650	81412
367	225079	80735
368	225717	80132
369	226198	79475
370	226524	78764
371	227009	78110
372	227384	77420
373	227831	76756
374	228320	76106
375	229065	75542
376	229565	74898
377	230021	74239
378	230554	73607
379	230935	72926
380	231277	72236
381	231497	71509
382	231759	70798
383	232009	70086
384	232224	69365
385	232451	68651
386	232670	67937
387	232857	67216
388	233073	66506
389	233316	65807
390	233603	65122
391	233887	64438
392	234113	63740
393	234326	63042
394	234561	62351
395	234782	61660
396	235033	60978
397	235235	60286
398	235468	59604
399	235716	58929
400	235975	58258
401	236172	57574
402	236393	56898
403	236620	56226
404	236895	55568
405	237138	54903
406	237388	54243
407	237591	53574
408	237930	52938
409	238177	52282
410	238476	51640
411	238785	51002
412	239040	50354
413	239341	49718
414	239610	49076
415	239824	48426
416	240059	47781
417	240338	47147
418	240475	46488
419	240764	45859
420	241176	45256
421	241571	44650
422	241848	44024
423	242137	43401
424	242385	42773
425	242639	42148
426	242873	41521
427	243137	40901
428	243416	40285
429	243672	39667
430	243906	39047
431	244165	38433
432	244412	37819
433	244732	37217
434	245036	36614
435	245260	36001
436	245626	35410
437	245836	34798
438	246274	34220
439	246589	33625
440	246754	33012
441	246958	32406
442	247162	31801
443	247383	31201
444	247619	30604
445	247910	30016
446	248126	29419
447	248517	28845
448	248720	28251
449	248924	27658
450	249168	27071
451	249409	26485
452	249700	25907
453	249956	25325
454	250190	24744
455	250403	24161
456	250592	23578
457	250787	22997
458	250999	22420
459	251196	21843
460	251694	21293
461	252330	20754
462	252856	20206
463	253222	19646
464	253573	19086
465	253812	18518
466	254028	17950
467	254260	17385
468	254438	16817
469	254706	16257
470	255017	15701
471	255340	15147
472	255529	14586
473	255811	14031
474	256029	13475
475	256278	12921
476	256586	12372
477	256891	11823
478	257141	11273
479	257390	10724
480	257657	10177
481	257898	9631
482	258207	9088
483	258411	8542
484	258614	7998
485	258978	7460
486	259359	6923
487	259765	6387
488	259994	5848
489	260226	5310
490	260487	4774
491	260701	4239
492	260915	3704
493	261239	3172
494	261469	2641
495	261691	2110
496	261905	1580
497	262081	1052
498	262365	525
499	262545	0
87250	3929
496	487756	2944
497	488062	1960
498	488460	978
499	488815	0
99	515400	0
